"Nombre_plataforma","Nombre","id","latitud","longitud","linea_1","linea_2","linea_3","orden_linea_1","orden_linea_2","orden_linea_3","orden_linea_1_subida","orden_linea_1_bajada","orden_linea_2_subida","orden_linea_2_bajada","orden_linea_3_subida","orden_linea_3_bajada","sentido","L1_horario_1er_servicio_D","L1_horario_1er_servicio_L_V","L1_horario_1er_servicio_S","L2_horario_1er_servicio_D","L2_horario_1er_servicio_L_V","L2_horario_1er_servicio_S","L3_horario_1er_servicio_D","L3_horario_1er_servicio_L_V","L3_horario_1er_servicio_S"
"Parque Coronación_subida","Parque Coronación",96,40.0382816,-6.0826314,1,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:50:00","07:50:00","07:50:00",NA,NA,NA,NA,NA,NA
"Los Pinos_bajada","Los Pinos",81,40.0410481,-6.0852647,0,0,1,NA,NA,11,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:14:00","08:14:00","08:04:00","07:58:00","07:53:00","08:38:00"
"Martín Palomino 3_bajada","Martín Palomino 3",89,40.008796,-6.110757,1,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:58:00","07:58:00","07:58:00",NA,NA,NA,NA,NA,NA
"PIR Los Monjes 1_subida","PIR Los Monjes 1",99,40.0137307,-6.0924984,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:21:00","07:16:00","08:01:00"
"Los Pitufos_subida","Los Pitufos",84,40.0359896,-6.0781173,0,0,1,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:33:00","07:28:00","08:13:00"
"PIR Los Monjes 2","PIR Los Monjes 2",100,40.0126744,-6.0913014,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,28,2,NA,NA,NA,NA,NA,NA,"07:20:00","07:15:00","08:00:00"
"Parque infantil de tráfico_subida","Parque infantil de tráfico",97,40.0357248,-6.0859228,0,1,0,NA,9,NA,NA,NA,NA,NA,NA,NA,1,"07:50:00","07:50:00","07:50:00","09:54:00","07:54:00","07:44:00",NA,NA,NA
"Los Pitufos_bajada","Los Pitufos",83,40.036076,-6.078357,0,0,1,NA,NA,16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"08:03:00","07:58:00","08:43:00"
"Palacio de Justicia_bajada","Palacio de Justicia",93,40.0460098,-6.0895419,0,0,1,NA,NA,2,NA,NA,NA,NA,NA,NA,0,"07:55:00","07:55:00","07:55:00",NA,NA,NA,"07:50:00","07:45:00","08:30:00"
"Pablo Iglesias_bajada","Pablo Iglesias",91,40.0426469,-6.0804457,1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:38:00","07:38:00","07:38:00",NA,NA,NA,NA,NA,NA
"Parque Coronación_bajada","Parque Coronación",95,40.037007,-6.0830996,1,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:44:00","07:44:00","07:44:00",NA,NA,NA,NA,NA,NA
"Los Pinos_subida","Los Pinos",82,40.041006,-6.0855886,0,0,1,NA,NA,18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:38:00","07:33:00","08:18:00"
"Plaza de toros_subida","Plaza de toros",105,40.0365108,-6.0903138,0,1,0,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:55:00","07:55:00","07:45:00",NA,NA,NA
"PIR Los Monjes 1_bajada","PIR Los Monjes 1",98,40.0137881,-6.0927063,0,0,1,NA,NA,27,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:54:00","07:54:00","07:44:00","08:16:00","08:11:00","08:56:00"
"Martín Palomino 3_subida","Martín Palomino 3",90,40.008582,-6.110836,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"08:03:00","08:03:00","08:03:00",NA,NA,NA,NA,NA,NA
"Pl. del Olivar-Multicines_bajada","Pl. del Olivar-Multicines",102,40.0409785,-6.0784177,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:34:00","07:34:00","07:34:00",NA,NA,NA,NA,NA,NA
"Plaza de toros_bajada","Plaza de toros",104,40.0365803,-6.09047,0,1,0,NA,9,NA,NA,NA,NA,NA,NA,NA,0,"07:59:00","07:59:00","07:59:00","10:13:00","08:13:00","08:03:00",NA,NA,NA
"Puerta del Sol_subida","Puerta del Sol",113,40.0305987,-6.086084,0,0,1,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:31:00","07:31:00","07:21:00","07:30:00","07:25:00","08:10:00"
"Pl. del Olivar-Multicines_subida","Pl. del Olivar-Multicines",103,40.041004,-6.078589,1,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:59:00","07:59:00","07:59:00",NA,NA,NA,NA,NA,NA
"Puerta Berrozana_bajada","Puerta Berrozana",110,40.030483,-6.092303,0,1,0,NA,18,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:30:00","07:30:00","07:20:00","07:27:00","07:22:00","08:07:00"
"Policía Local_subida","Policía Local",107,40.0397995,-6.0770172,1,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,1,"08:01:00","08:01:00","08:01:00",NA,NA,NA,NA,NA,NA
